state	abbr	poverty				
Alabama	AL	15
Alaska	AK	14.4
Arizona	AZ	13.2
Arkansas	AR	14.8
California	CA	12.4
Colorado	CO	7.7
Connecticut	CT	10.9
Delaware	DE	9.2
District of Columbia	DC	13.6
Florida	FL	13.7
Georgia	GA	13.3
Hawaii	HI	10.3
Idaho	ID	11.7
Illinois	IL	10.9
Indiana	IN	11.4
Iowa	IA	9.1
Kansas	KS	14.7
Kentucky	KY	14.4
Louisiana	LA	21.4
Maine	ME	12
Maryland	MD	7.8
Massachusetts	MA	10.6
Michigan	MI	12.7
Minnesota	MN	9.2
Mississippi	MS	18.3
Missouri	MO	11.1
Montana	MT	9.7
Nebraska	NE	10.4
Nevada	NV	13.7
New Hampshire	NH	6.6
New Jersey	NJ	8.6
New Mexico	NM	18.6
New York	NY	13.4
North Carolina	NC	14.5
North Dakota	ND	11.3
Ohio	OH	12.7
Oklahoma	OK	12.6
Oregon	OR	10.2
Pennsylvania	PA	11.2
Rhode Island	RI	12.2
South Carolina	SC	15.6
South Dakota	SD	10.4
Tennessee	TN	11.5
Texas	TX	13.4
Utah	UT	8.6
Vermont	VT	10.2
Virginia	VA	10.3
Washington	WA	9.9
West Virginia	WV	17.3
Wisconsin	WI	9.5
Wyoming	WY	12.4
